first-letter frequency
a,80286167.20999995
b,35594754.93000007
c,29137710.650000017
d,22656263.940000016
e,16717153.749999996
f,31903384.279999997
g,14422808.74
h,55999196.35000002
i,58728150.37999999
j,2873857.7600000007
k,4658173.36
l,20155630.529999983
m,34123881.620000005
n,18355962.120000027
o,62807300.03000003
p,23743343.719999958
q,1557556.6599999997
r,16485452.49999999
s,52575600.3000001
t,137793615.02999976
u,8933832.32
v,5072265.189999999
w,59531095.78000005
x,17802.89
y,11037699.35
z,43955.34
last-letter frequency
a,2978233.020000001
b,415597.15000000014
c,1475849.13
d,95566030.76999973
e,168022909.22999975
f,40255779.929999985
g,21185715.009999987
h,25143417.310000002
i,11929472.139999999
k,7946899.259999999
l,21577826.249999974
m,15506347.779999997
n,66594484.999999955
o,40883583.419999994
p,4704013.04
q,75751.8
r,51786646.999999955
s,83530698.22000033
t,82273674.87000011
u,6565553.72
v,77582.44
w,8138880.499999999
x,542058.6499999999
y,47458678.200000145
z,11567.17
twice-letter frequency
a,13364531.549999971
b,520687.4399999999
c,6181673.130000001
d,8858062.159999995
e,62378827.65000013
f,3524273.9599999995
g,2706772.82
h,8826048.400000002
i,14820931.230000013
k,78950.32
l,21697310.480000008
m,3170878.67
n,15742500.929999998
o,16575359.82999999
p,6369778.110000006
r,13079507.699999996
s,16781752.47
t,28318562.910000045
u,2237506.7
v,177201.97999999998
w,379679.82999999984
y,359349.97000000003
z,43388.16
